Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4268286509232,13662230118576,2022-01-02T10:05:24-05:00,#1925,product,order,Online Store,,Canada,Ontario,Perth,Canada,Ontario,Perth,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.990,0.000,0.000,182.990,0.000,23.790,206.780
4166819152048,13668074062000,2022-01-03T20:32:15-05:00,#1826,product,return,Online Store,,United States,Michigan,Spring Lake,United States,Michigan,Spring Lake,Clothing,DOGORA,3 Season Heated Coat,M2,,-1,0.000,0.000,-205.990,-205.990,0.000,0.000,-205.990
4270197768368,13668082712752,2022-01-03T20:35:00-05:00,#1926,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Hoodie,L,,1,69.990,0.000,0.000,69.990,0.000,9.100,79.090
4271390294192,13671866990768,2022-01-04T18:34:13-05:00,#1927,shipping,order,Online Store,,Canada,Ontario,Oshawa,Canada,Ontario,Oshawa,,,,,,0,0.000,0.000,0.000,0.000,5.990,0.780,6.770
4271390294192,13671866958000,2022-01-04T18:34:13-05:00,#1927,product,order,Online Store,,Canada,Ontario,Oshawa,Canada,Ontario,Oshawa,,DOGORA,Medical Snuggie,L,,1,41.240,0.000,0.000,41.240,0.000,5.360,46.600
4271459991728,13672107147440,2022-01-04T19:38:07-05:00,#1928,shipping,order,Online Store,,Canada,Ontario,Port Hope,Canada,Ontario,Port Hope,,,,,,0,0.000,0.000,0.000,0.000,5.990,0.780,6.770
4271459991728,13672107114672,2022-01-04T19:38:07-05:00,#1928,product,order,Online Store,,Canada,Ontario,Port Hope,Canada,Ontario,Port Hope,,DOGORA,Medical Snuggie,L,,1,41.240,0.000,0.000,41.240,0.000,5.360,46.600
4272369467568,13674925785264,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,M2,,3,55.770,0.000,0.000,55.770,0.000,7.250,63.020
4272369467568,13674925752496,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,L,,3,61.950,0.000,0.000,61.950,0.000,8.050,70.000
4272369467568,13674925850800,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,S,,2,27.300,0.000,0.000,27.300,0.000,3.550,30.850
4272369467568,13674925818032,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,M1,,3,47.970,0.000,0.000,47.970,0.000,6.240,54.210
4272369467568,13674925719728,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,XL,,4,90.400,0.000,0.000,90.400,0.000,11.750,102.150
4273071095984,13677129793712,2022-01-05T22:18:01-05:00,#1930,shipping,order,Online Store,,United States,Washington,Medina,United States,Washington,Medina,,,,,,0,0.000,0.000,0.000,0.000,19.990,0.000,19.990
4273071095984,13677129760944,2022-01-05T22:18:01-05:00,#1930,product,order,Online Store,,United States,Washington,Medina,United States,Washington,Medina,Clothing,DOGORA,3 Season Heated Coat,M2,,1,205.990,0.000,0.000,205.990,0.000,0.000,205.990
4273200627888,13677559873712,2022-01-06T00:32:39-05:00,#1931,product,order,Online Store,,Canada,British Columbia,Surrey,Canada,British Columbia,Surrey,,DOGORA,Medical Snuggie,L,,1,41.240,0.000,0.000,41.240,0.000,2.060,43.300
4273200627888,13677559906480,2022-01-06T00:32:39-05:00,#1931,shipping,order,Online Store,,Canada,British Columbia,Surrey,Canada,British Columbia,Surrey,,,,,,0,0.000,0.000,0.000,0.000,5.990,0.300,6.290
4274076909744,13680301539504,2022-01-06T16:22:20-05:00,#1932,product,order,Online Store,,Canada,Ontario,St. Catharines,Canada,Ontario,St. Catharines,,DOGORA,Clinic Order Medical Snuggie,S,,3,40.950,0.000,0.000,40.950,0.000,5.320,46.270
4274076909744,13680301572272,2022-01-06T16:22:20-05:00,#1932,product,order,Online Store,,Canada,Ontario,St. Catharines,Canada,Ontario,St. Catharines,,DOGORA,Clinic Order Medical Snuggie,XS,,3,35.970,0.000,0.000,35.970,0.000,4.680,40.650
4274076909744,13680329916592,2022-01-06T16:30:32-05:00,#1932,product,order,Online Store,,Canada,Ontario,St. Catharines,Canada,Ontario,St. Catharines,,DOGORA,Clinic Order Medical Snuggie,S,,2,27.300,0.000,0.000,27.300,0.000,3.550,30.850
4274076909744,13680329949360,2022-01-06T16:30:32-05:00,#1932,product,order,Online Store,,Canada,Ontario,St. Catharines,Canada,Ontario,St. Catharines,,DOGORA,Clinic Order Medical Snuggie,XS,,2,23.980,0.000,0.000,23.980,0.000,3.120,27.100
4274213257392,13680720085168,2022-01-06T18:25:56-05:00,#1933,product,order,Online Store,,Canada,British Columbia,Lindell Beach,Canada,British Columbia,Lindell Beach,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.990,0.000,0.000,182.990,0.000,9.150,192.140
4274406752432,13681347199152,2022-01-06T21:25:23-05:00,#1934,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,Clothing,DOGORA,3 Season Heated Coat,M2,,1,205.990,0.000,0.000,205.990,0.000,26.780,232.770
4241933041840,13681610260656,2022-01-06T22:34:09-05:00,#1904,product,return,Online Store,,United States,Michigan,Rochester Hiils,United States,Michigan,Rochester Hiils,,DOGORA,Medical Snuggie,S,,-1,0.000,0.000,-27.290,-27.290,0.000,0.000,-27.290
4241933041840,13681610227888,2022-01-06T22:34:09-05:00,#1904,product,return,Online Store,,United States,Michigan,Rochester Hiils,United States,Michigan,Rochester Hiils,Clothing,DOGORA,3 Season Heated Coat,XL,,-1,0.000,0.000,-225.490,-225.490,0.000,0.000,-225.490
4276648640688,13688127881392,2022-01-08T15:26:08-05:00,#1935,shipping,order,Online Store,,United States,Illinois,Vernon Hills,United States,Illinois,Vernon Hills,,,,,,0,0.000,0.000,0.000,0.000,19.990,0.000,19.990
4276648640688,13688127848624,2022-01-08T15:26:08-05:00,#1935,product,order,Online Store,,United States,Illinois,Vernon Hills,United States,Illinois,Vernon Hills,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.990,0.000,0.000,182.990,0.000,0.000,182.990
4278356607152,13693146366128,2022-01-09T20:05:23-05:00,#1936,product,order,Online Store,,Canada,British Columbia,Port Alberni,Canada,British Columbia,Port Alberni,,DOGORA,Medical Snuggie,M2,,2,74.380,0.000,0.000,74.380,0.000,3.720,78.100
4250262306992,13695860146352,2022-01-10T14:43:43-05:00,#1910,product,return,Online Store,,United States,Washington,Seattle,United States,Washington,Seattle,Clothing,DOGORA,3 Season Heated Coat,S,,-1,0.000,0.000,-182.990,-182.990,0.000,0.000,-182.990
4234009477296,13695865979056,2022-01-10T14:45:29-05:00,#1903,product,return,Online Store,,United States,Washington,Seattle,United States,Washington,Seattle,Clothing,DOGORA,3 Season Heated Coat,M1,,-1,0.000,0.000,-196.990,-196.990,0.000,0.000,-196.990
4280801198256,13700721311920,2022-01-11T17:47:47-05:00,#1937,product,order,Online Store,,Canada,Ontario,Lasalle,Canada,Ontario,Lasalle,Clothing,DOGORA,3 Season Heated Coat,XS,3HC01-001,1,175.990,0.000,0.000,175.990,0.000,22.880,198.870
4281860587696,13704085110960,2022-01-12T13:59:00-05:00,#1938,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,Clothing,DOGORA,3 Season Heated Coat,M1,,1,196.990,-29.540,0.000,167.450,0.000,21.770,189.220
4282045989040,13704675295408,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,XL,,1,45.190,0.000,0.000,45.190,0.000,5.870,51.060
4282045989040,13704675360944,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,M2,,1,37.190,0.000,0.000,37.190,0.000,4.830,42.020
4282045989040,13704675393712,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,M1,,3,95.970,0.000,0.000,95.970,0.000,12.480,108.450
4282045989040,13704675328176,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,L,,2,82.480,0.000,0.000,82.480,0.000,10.720,93.200
4282045989040,13704675426480,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,XS,,4,95.960,0.000,0.000,95.960,0.000,12.470,108.430
4253557457072,13706542186672,2022-01-13T01:53:00-05:00,#1915,unknown,return,Online Store,,Canada,Ontario,Markham,Canada,Ontario,Markham,,,,,,0,0.000,0.000,-5.650,-5.650,0.000,0.000,-5.650
4282045989040,13706546970800,2022-01-13T01:55:47-05:00,#1939,unknown,return,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,,,,,0,0.000,0.000,-201.550,-201.550,0.000,0.000,-201.550
4283004027056,13707628052656,2022-01-13T10:23:54-05:00,#1940,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Clinic Order Medical Snuggie,M2,,2,37.180,0.000,0.000,37.180,0.000,4.830,42.010
4283004027056,13707628085424,2022-01-13T10:23:54-05:00,#1940,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Clinic Order Medical Snuggie,L,,5,103.250,0.000,0.000,103.250,0.000,13.420,116.670
4283004027056,13707628019888,2022-01-13T10:23:54-05:00,#1940,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Clinic Order Medical Snuggie,M1,,5,79.950,0.000,0.000,79.950,0.000,10.390,90.340
4216622481584,13712709451952,2022-01-14T13:38:12-05:00,#1889,product,return,Online Store,,Canada,Ontario,Azilda,Canada,Ontario,Azilda,Clothing,DOGORA,3 Season Heated Coat,L,,-1,0.000,0.000,-161.250,-161.250,0.000,-20.960,-182.210
4284697510064,13712863396016,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,XL,,2,50.000,0.000,0.000,50.000,0.000,0.000,50.000
4284697510064,13712863461552,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,M2,,10,212.500,0.000,0.000,212.500,0.000,0.000,212.500
4284697510064,13712863428784,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,L,,5,112.500,0.000,0.000,112.500,0.000,0.000,112.500
