Billing country,Billing region,Billing city,Product type,Product title,Product variant title,Day,Shipping country,Shipping region,Shipping city,Product ID,Order or return,New or returning customer,Company name,Company location name,Is B2B order,Number of products bought together,Order ID,Sale ID,Gross sales,Discounts,Returns,Net sales,Shipping charges,Taxes,Total sales,Quantity ordered
Canada,Ontario,Perth,,,,2022-01-02,Canada,Ontario,Perth,,order,New,,,FALSE,1,4.26829E+12,1.36622E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Perth,Clothing,3 Season Heated Coat,S,2022-01-02,Canada,Ontario,Perth,1.85914E+12,order,New,,,FALSE,1,4.26829E+12,1.36622E+13,182.99,0,0,182.99,0,23.79,206.78,1
Canada,Ontario,Toronto,,Hoodie,L,2022-01-03,Canada,Ontario,Toronto,4.46952E+12,order,New,,,FALSE,1,4.2702E+12,1.36681E+13,69.99,0,0,69.99,0,9.1,79.09,1
Canada,Ontario,Toronto,,,,2022-01-03,Canada,Ontario,Toronto,,order,New,,,FALSE,1,4.2702E+12,1.36681E+13,0,0,0,0,0,0,0,0
United States,Michigan,Spring Lake,Clothing,3 Season Heated Coat,M2,2022-01-03,United States,Michigan,Spring Lake,1.85914E+12,return,New,,,FALSE,1,4.16682E+12,1.36681E+13,0,0,-205.99,-205.99,0,0,-205.99,0
Canada,Ontario,Oshawa,,Medical Snuggie,L,2022-01-04,Canada,Ontario,Oshawa,4.47367E+12,order,New,,,FALSE,1,4.27139E+12,1.36719E+13,41.24,0,0,41.24,0,5.36,46.6,1
Canada,Ontario,Port Hope,,Medical Snuggie,L,2022-01-04,Canada,Ontario,Port Hope,4.47367E+12,order,New,,,FALSE,1,4.27146E+12,1.36721E+13,41.24,0,0,41.24,0,5.36,46.6,1
Canada,Ontario,Port Hope,,,,2022-01-04,Canada,Ontario,Port Hope,,order,New,,,FALSE,1,4.27146E+12,1.36721E+13,0,0,0,0,5.99,0.78,6.77,0
Canada,Ontario,Oshawa,,,,2022-01-04,Canada,Ontario,Oshawa,,order,New,,,FALSE,1,4.27139E+12,1.36719E+13,0,0,0,0,5.99,0.78,6.77,0
Canada,Ontario,Mississauga,,Clinic Order Medical Snuggie,S,2022-01-05,Canada,Ontario,Mississauga,4.6145E+12,order,Returning,,,FALSE,1,4.27237E+12,1.36749E+13,27.3,0,0,27.3,0,3.55,30.85,2
Canada,Ontario,Mississauga,,,,2022-01-05,Canada,Ontario,Mississauga,,order,Returning,,,FALSE,1,4.27237E+12,1.36749E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Mississauga,,Clinic Order Medical Snuggie,M2,2022-01-05,Canada,Ontario,Mississauga,4.6145E+12,order,Returning,,,FALSE,1,4.27237E+12,1.36749E+13,55.77,0,0,55.77,0,7.25,63.02,3
Canada,Ontario,Mississauga,,Clinic Order Medical Snuggie,M1,2022-01-05,Canada,Ontario,Mississauga,4.6145E+12,order,Returning,,,FALSE,1,4.27237E+12,1.36749E+13,47.97,0,0,47.97,0,6.24,54.21,3
United States,Washington,Medina,,,,2022-01-05,United States,Washington,Medina,,order,New,,,FALSE,1,4.27307E+12,1.36771E+13,0,0,0,0,19.99,0,19.99,0
United States,Washington,Medina,Clothing,3 Season Heated Coat,M2,2022-01-05,United States,Washington,Medina,1.85914E+12,order,New,,,FALSE,1,4.27307E+12,1.36771E+13,205.99,0,0,205.99,0,0,205.99,1
Canada,Ontario,Mississauga,,Clinic Order Medical Snuggie,L,2022-01-05,Canada,Ontario,Mississauga,4.6145E+12,order,Returning,,,FALSE,1,4.27237E+12,1.36749E+13,61.95,0,0,61.95,0,8.05,70,3
Canada,Ontario,Mississauga,,Clinic Order Medical Snuggie,XL,2022-01-05,Canada,Ontario,Mississauga,4.6145E+12,order,Returning,,,FALSE,1,4.27237E+12,1.36749E+13,90.4,0,0,90.4,0,11.75,102.15,4
Canada,Ontario,St. Catharines,,Clinic Order Medical Snuggie,XS,2022-01-06,Canada,Ontario,St. Catharines,4.6145E+12,order,Returning,,,FALSE,1,4.27408E+12,1.36803E+13,23.98,0,0,23.98,0,3.12,27.1,0
United States,Michigan,Rochester Hiils,Clothing,3 Season Heated Coat,XL,2022-01-06,United States,Michigan,Rochester Hiils,1.85914E+12,return,New,,,FALSE,2,4.24193E+12,1.36816E+13,0,0,-225.49,-225.49,0,0,-225.49,0
Canada,Ontario,St. Catharines,,Clinic Order Medical Snuggie,XS,2022-01-06,Canada,Ontario,St. Catharines,4.6145E+12,order,Returning,,,FALSE,1,4.27408E+12,1.36803E+13,35.97,0,0,35.97,0,4.68,40.65,3
Canada,Ontario,St. Catharines,,Clinic Order Medical Snuggie,S,2022-01-06,Canada,Ontario,St. Catharines,4.6145E+12,order,Returning,,,FALSE,1,4.27408E+12,1.36803E+13,40.95,0,0,40.95,0,5.32,46.27,3
Canada,British Columbia,Surrey,,Medical Snuggie,L,2022-01-06,Canada,British Columbia,Surrey,4.47367E+12,order,Returning,,,FALSE,1,4.2732E+12,1.36776E+13,41.24,0,0,41.24,0,2.06,43.3,1
Canada,British Columbia,Lindell Beach,,,,2022-01-06,Canada,British Columbia,Lindell Beach,,order,Returning,,,FALSE,1,4.27421E+12,1.36807E+13,0,0,0,0,0,0,0,0
Canada,British Columbia,Lindell Beach,Clothing,3 Season Heated Coat,S,2022-01-06,Canada,British Columbia,Lindell Beach,1.85914E+12,order,Returning,,,FALSE,1,4.27421E+12,1.36807E+13,182.99,0,0,182.99,0,9.15,192.14,1
Canada,Ontario,St. Catharines,,Clinic Order Medical Snuggie,S,2022-01-06,Canada,Ontario,St. Catharines,4.6145E+12,order,Returning,,,FALSE,1,4.27408E+12,1.36803E+13,27.3,0,0,27.3,0,3.55,30.85,0
Canada,Ontario,Toronto,Clothing,3 Season Heated Coat,M2,2022-01-06,Canada,Ontario,Toronto,1.85914E+12,order,New,,,FALSE,1,4.27441E+12,1.36813E+13,205.99,0,0,205.99,0,26.78,232.77,1
Canada,Ontario,St. Catharines,,,,2022-01-06,Canada,Ontario,St. Catharines,,order,Returning,,,FALSE,1,4.27408E+12,1.36803E+13,0,0,0,0,0,0,0,0
United States,Michigan,Rochester Hiils,,Medical Snuggie,S,2022-01-06,United States,Michigan,Rochester Hiils,4.47367E+12,return,New,,,FALSE,2,4.24193E+12,1.36816E+13,0,0,-27.29,-27.29,0,0,-27.29,0
Canada,Ontario,Toronto,,,,2022-01-06,Canada,Ontario,Toronto,,order,New,,,FALSE,1,4.27441E+12,1.36813E+13,0,0,0,0,0,0,0,0
Canada,British Columbia,Surrey,,,,2022-01-06,Canada,British Columbia,Surrey,,order,Returning,,,FALSE,1,4.2732E+12,1.36776E+13,0,0,0,0,5.99,0.3,6.29,0
United States,Illinois,Vernon Hills,,,,2022-01-08,United States,Illinois,Vernon Hills,,order,New,,,FALSE,1,4.27665E+12,1.36881E+13,0,0,0,0,19.99,0,19.99,0
United States,Illinois,Vernon Hills,Clothing,3 Season Heated Coat,S,2022-01-08,United States,Illinois,Vernon Hills,1.85914E+12,order,New,,,FALSE,1,4.27665E+12,1.36881E+13,182.99,0,0,182.99,0,0,182.99,1
Canada,British Columbia,Port Alberni,,,,2022-01-09,Canada,British Columbia,Port Alberni,,order,New,,,FALSE,1,4.27836E+12,1.36931E+13,0,0,0,0,0,0,0,0
