Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4.26829E+12,1.36622E+13,2022-01-02T10:05:24-05:00,#1925,product,order,Online Store,,Canada,Ontario,Perth,Canada,Ontario,Perth,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.99,0,0,182.99,0,23.79,206.78
4.16682E+12,1.36681E+13,2022-01-03T20:32:15-05:00,#1826,product,return,Online Store,,United States,Michigan,Spring Lake,United States,Michigan,Spring Lake,Clothing,DOGORA,3 Season Heated Coat,M2,,-1,0,0,-205.99,-205.99,0,0,-205.99
4.2702E+12,1.36681E+13,2022-01-03T20:35:00-05:00,#1926,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Hoodie,L,,1,69.99,0,0,69.99,0,9.1,79.09
4.27139E+12,1.36719E+13,2022-01-04T18:34:13-05:00,#1927,shipping,order,Online Store,,Canada,Ontario,Oshawa,Canada,Ontario,Oshawa,,,,,,0,0,0,0,0,5.99,0.78,6.77
4.27139E+12,1.36719E+13,2022-01-04T18:34:13-05:00,#1927,product,order,Online Store,,Canada,Ontario,Oshawa,Canada,Ontario,Oshawa,,DOGORA,Medical Snuggie,L,,1,41.24,0,0,41.24,0,5.36,46.6
4.27146E+12,1.36721E+13,2022-01-04T19:38:07-05:00,#1928,shipping,order,Online Store,,Canada,Ontario,Port Hope,Canada,Ontario,Port Hope,,,,,,0,0,0,0,0,5.99,0.78,6.77
4.27146E+12,1.36721E+13,2022-01-04T19:38:07-05:00,#1928,product,order,Online Store,,Canada,Ontario,Port Hope,Canada,Ontario,Port Hope,,DOGORA,Medical Snuggie,L,,1,41.24,0,0,41.24,0,5.36,46.6
4.27237E+12,1.36749E+13,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,M2,,3,55.77,0,0,55.77,0,7.25,63.02
4.27237E+12,1.36749E+13,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,L,,3,61.95,0,0,61.95,0,8.05,70
4.27237E+12,1.36749E+13,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,S,,2,27.3,0,0,27.3,0,3.55,30.85
4.27237E+12,1.36749E+13,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,M1,,3,47.97,0,0,47.97,0,6.24,54.21
4.27237E+12,1.36749E+13,2022-01-05T12:54:22-05:00,#1929,product,order,Online Store,,Canada,Ontario,Mississauga,Canada,Ontario,Mississauga,,DOGORA,Clinic Order Medical Snuggie,XL,,4,90.4,0,0,90.4,0,11.75,102.15
4.27307E+12,1.36771E+13,2022-01-05T22:18:01-05:00,#1930,shipping,order,Online Store,,United States,Washington,Medina,United States,Washington,Medina,,,,,,0,0,0,0,0,19.99,0,19.99
4.27307E+12,1.36771E+13,2022-01-05T22:18:01-05:00,#1930,product,order,Online Store,,United States,Washington,Medina,United States,Washington,Medina,Clothing,DOGORA,3 Season Heated Coat,M2,,1,205.99,0,0,205.99,0,0,205.99
4.2732E+12,1.36776E+13,2022-01-06T00:32:39-05:00,#1931,product,order,Online Store,,Canada,British Columbia,Surrey,Canada,British Columbia,Surrey,,DOGORA,Medical Snuggie,L,,1,41.24,0,0,41.24,0,2.06,43.3
4.2732E+12,1.36776E+13,2022-01-06T00:32:39-05:00,#1931,shipping,order,Online Store,,Canada,British Columbia,Surrey,Canada,British Columbia,Surrey,,,,,,0,0,0,0,0,5.99,0.3,6.29
4.27408E+12,1.36803E+13,2022-01-06T16:22:20-05:00,#1932,product,order,Online Store,,Canada,Ontario,St. Catharines,Canada,Ontario,St. Catharines,,DOGORA,Clinic Order Medical Snuggie,S,,3,40.95,0,0,40.95,0,5.32,46.27
