date,order_id,sale_id,order_or_return,product_type,product_title,product_variant,quantity_ordered,billing_country,billing_region,billing_city,location,new_or_returning,gross_sales,discounts,returns,net_sales,shipping_charges,taxes,total_sales
2020-02-13,2017660633134,6205885906990,order,,,,0,Canada,Ontario,Vaughan,"Vaughan, Ontario, Canada",New,0,0,0,0,0,0,0
2020-02-13,2017496006702,6205437509678,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Vaughan,"Vaughan, Ontario, Canada",New,27,0,0,27,0,0,27
2020-02-13,2017496006702,6205437542446,order,,,,0,Canada,Ontario,Vaughan,"Vaughan, Ontario, Canada",New,0,0,0,0,0,0,0
2020-02-13,2017660633134,6205885874222,order,Clothing,"3 Season Heated Coat",XL,1,Canada,Ontario,Vaughan,"Vaughan, Ontario, Canada",New,230,0,0,230,0,0,230
2020-02-18,2024372240430,6224853041198,order,,,,0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,0,0,0,0,0
2020-02-18,2024372240430,6224853008430,order,Clothing,"High-Top Boots","S - 2 Boots Only",1,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,91.5,0,0,91.5,0,0,91.5
2020-02-19,2026171858990,6230271590446,order,,,,0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,0,0,9.99,0,9.99
2020-02-19,2026171858990,6230271557678,order,Clothing,"High-Top Boots","XS -  2 Boots Only",1,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,90,0,0,90,0,0,90
2020-02-20,2026171858990,18958009335984,return,,,,0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,0,0,-9.99,0,-9.99
2020-02-20,2026171858990,18958009303216,return,,,,0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,0,0,9.99,0,9.99
2020-02-20,2026171858990,6231239721006,return,,,,0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,0,0,-9.99,0,-9.99
2020-03-02,2024372240430,6274826469422,return,Clothing,"High-Top Boots","S - 2 Boots Only",0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,-91.5,-91.5,0,0,-91.5
2020-03-04,2026171858990,6285090652206,return,Clothing,"High-Top Boots","XS -  2 Boots Only",0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,-90,-90,0,0,-90
2020-04-18,2116429414446,6491043889198,order,,Hoodie,M1,1,Canada,Ontario,Kitchener,"Kitchener, Ontario, Canada",New,55,-13.75,0,41.25,0,0,41.25
2020-04-18,2116429414446,6491043921966,order,,,,0,Canada,Ontario,Kitchener,"Kitchener, Ontario, Canada",New,0,0,0,0,0,0,0
2020-04-30,2143141527598,6570499833902,order,,,,0,Canada,Ontario,Kitchener,"Kitchener, Ontario, Canada",Returning,0,0,0,0,0,0,0
2020-04-30,2141419995182,6565509333038,order,,"Trench Coat",M2,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,73.99,-18.5,0,55.49,0,7.21,62.7
2020-04-30,2141419995182,6565509464110,order,,,,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,0,0,0,0,0,0,0
2020-04-30,2141419995182,6565509365806,order,,"Trench Coat",M1,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,57.99,-14.5,0,43.49,0,5.65,49.14
2020-04-30,2141419995182,6565509398574,order,,Hoodie,M2,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,65,-16.25,0,48.75,0,6.34,55.09
2020-04-30,2143141527598,6570499801134,order,,"Medical Snuggie",M1,1,Canada,Ontario,Kitchener,"Kitchener, Ontario, Canada",Returning,31.99,0,0,31.99,0,4.16,36.15
2020-04-30,2141419995182,6565509431342,order,,Hoodie,M1,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,55,-13.74,0,41.26,0,5.36,46.62
2020-05-04,2141419995182,6595384606766,return,,"Trench Coat",M1,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,0,0,-43.49,-43.49,0,-5.65,-49.14
2020-05-06,2156330123310,6608362307630,order,,,,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,0,0,0,0,0,0,0
2020-05-06,2156330123310,6608362274862,order,,"Trench Coat",M2,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,73.99,-18.49,0,55.5,0,7.22,62.72
2020-07-17,2305900609582,7053485834286,order,,"Trench Coat",M1,1,Canada,Quebec,Mirabel,"Mirabel, Quebec, Canada",New,57.99,0,0,57.99,0,2.9,60.89
2020-07-17,2305900609582,7053485867054,order,,,,0,Canada,Quebec,Mirabel,"Mirabel, Quebec, Canada",New,0,0,0,0,0,0,0
2020-07-17,2305900609582,7053485801518,order,,"Trench Coat",S,1,Canada,Quebec,Mirabel,"Mirabel, Quebec, Canada",New,53.59,0,0,53.59,0,2.68,56.27
2020-07-23,2318360969262,7090595332142,order,,,,0,Canada,"British Columbia","North Vancouver","North Vancouver, British Columbia, Canada",New,0,0,0,0,0,0,0
2020-07-23,2318360969262,7090595299374,order,,"Trench Coat",M1,1,Canada,"British Columbia","North Vancouver","North Vancouver, British Columbia, Canada",New,57.99,0,0,57.99,0,2.9,60.89
2020-07-28,2330081460270,7123449315374,order,,,,0,Canada,"British Columbia","Port Alberni","Port Alberni, British Columbia, Canada",New,0,0,0,0,0,0,0
2020-07-28,2330081460270,7123449282606,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,"British Columbia","Port Alberni","Port Alberni, British Columbia, Canada",New,150,0,0,150,0,7.5,157.5
2020-08-09,2354290032686,7193140199470,order,,,,0,Canada,Ontario,Ottawa,"Ottawa, Ontario, Canada",New,0,0,0,0,0,0,0
2020-08-09,2354290032686,7193140166702,order,,"Medical Snuggie",M1,1,Canada,Ontario,Ottawa,"Ottawa, Ontario, Canada",New,31.99,0,0,31.99,0,4.16,36.15
2020-08-27,2387950403630,7294011965486,order,,"Trench Coat",S,1,Canada,Quebec,Boisbriand,"Boisbriand, Quebec, Canada",New,53.59,0,0,53.59,0,2.68,56.27
2020-08-27,2387950403630,7294011998254,order,,,,0,Canada,Quebec,Boisbriand,"Boisbriand, Quebec, Canada",New,0,0,0,0,0,0,0
2020-09-28,2446065106990,7468479971374,order,,,,0,Canada,Manitoba,Winnipeg,"Winnipeg, Manitoba, Canada",New,0,0,0,0,0,0,0
2020-09-28,2446065106990,7468479938606,order,,Hoodie,L,1,Canada,Manitoba,Winnipeg,"Winnipeg, Manitoba, Canada",New,70,0,0,70,0,3.5,73.5
2020-09-30,2449494605870,7478860513326,order,Clothing,"3 Season Heated Coat",M2,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,205.99,-83.61,0,122.38,0,15.91,138.29
2020-09-30,2449663229998,7479379722286,order,,,,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,0,0,0,0,0,0,0
2020-09-30,2449663229998,7479379689518,order,Clothing,"High-Top Boots","XS -  2 Boots Only",1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,82.99,0,0,82.99,0,10.79,93.78
2020-09-30,2449494605870,7478860578862,order,,,,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,0,0,0,0,0,0,0
2020-10-02,2453820669998,7492132438062,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Napanee,"Napanee, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-02,2453820669998,7492132470830,order,,,,0,Canada,Ontario,Napanee,"Napanee, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-03,2455861493806,7497644474414,order,,,,0,Canada,Ontario,Belleville,"Belleville, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-03,2455861493806,7497644441646,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Belleville,"Belleville, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-03,2455944364078,7497875521582,order,,,,0,Canada,Alberta,Athabasca,"Athabasca, Alberta, Canada",New,0,0,0,0,0,0,0
2020-10-03,2455944364078,7497875488814,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Alberta,Athabasca,"Athabasca, Alberta, Canada",New,150,0,0,150,0,7.5,157.5
2020-10-06,2460840984622,7512404754478,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-06,2460840984622,7512404820014,order,,,,0,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-07,2462704959534,7518144692270,order,,,,0,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-07,2449494605870,7521797242926,return,,,,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",Returning,0,0,-10.17,-10.17,0,0,-10.17
2020-10-07,2462704959534,7518144659502,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-07,2462699978798,7518127357998,order,,,,0,Canada,Ontario,"Richmond Hill","Richmond Hill, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-07,2462699978798,7518127325230,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,"Richmond Hill","Richmond Hill, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-08,2464964149294,7526501974062,order,Clothing,"High-Top Boots",,1,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",New,99.99,0,0,99.99,0,13,112.99
2020-10-08,2464964149294,7526502039598,order,,,,0,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-14,2475856920622,7559687602222,order,,,,0,Canada,"Nova Scotia",Bedford,"Bedford, Nova Scotia, Canada",New,0,0,0,0,0,0,0
2020-10-14,2475856920622,7559687536686,order,,"Medical Snuggie",S,1,Canada,"Nova Scotia",Bedford,"Bedford, Nova Scotia, Canada",New,27.29,0,0,27.29,0,4.09,31.38
2020-10-14,2475856920622,7559687471150,order,,Hoodie,S,1,Canada,"Nova Scotia",Bedford,"Bedford, Nova Scotia, Canada",New,50,0,0,50,0,7.5,57.5
2020-10-15,2477518258222,7564758450222,order,,"Medical Snuggie",L,1,Canada,"Northwest Territories","Fort Smith","Fort Smith, Northwest Territories, Canada",New,41.24,0,0,41.24,0,2.06,43.3
2020-10-15,2477518258222,7564758482990,order,,"Medical Snuggie",M2,1,Canada,"Northwest Territories","Fort Smith","Fort Smith, Northwest Territories, Canada",New,37.19,0,0,37.19,0,1.86,39.05
2020-10-15,2477518258222,7564758548526,order,,"Medical Snuggie",S,1,Canada,"Northwest Territories","Fort Smith","Fort Smith, Northwest Territories, Canada",New,27.29,0,0,27.29,0,1.36,28.65
2020-10-15,2477518258222,7564758417454,order,,"Medical Snuggie",XL,1,Canada,"Northwest Territories","Fort Smith","Fort Smith, Northwest Territories, Canada",New,45.19,0,0,45.19,0,2.26,47.45
